-0.000506,0.002128,0.002408,0.180385,2.082003,-4.593121,-0.094333,2.149434,-4.498411,-0.000492,0.004885,-0.003335,
-0.096815,0.002578,-0.027335,0.178052,2.904096,-6.380972,-0.154120,2.971894,-6.266085,-0.007633,0.061552,-0.036454,
-0.199750,0.010709,-0.074835,0.205032,3.670220,-8.127050,-0.228881,3.774210,-8.025176,-0.000047,0.131286,-0.071417,
-0.280046,0.025042,-0.117239,0.250808,3.996501,-8.999743,-0.316775,4.177529,-8.947378,0.008337,0.192525,-0.099119,
-0.348792,0.043419,-0.152310,0.303165,3.944486,-9.101471,-0.430064,4.239842,-9.124000,0.010373,0.248348,-0.123380,
-0.409014,0.064942,-0.180490,0.354097,3.579309,-8.519229,-0.569721,4.024765,-8.637248,0.006353,0.300216,-0.145274,
-0.462325,0.089009,-0.202459,0.390849,2.966449,-7.311565,-0.726370,3.592596,-7.541975,-0.002641,0.349210,-0.165413,
-0.509747,0.115192,-0.218767,0.393979,2.168668,-5.506508,-0.873048,2.990557,-5.859498,-0.015603,0.396179,-0.184225,
-0.552149,0.143150,-0.229814,0.340558,1.230407,-3.103563,-0.959955,2.229939,-3.575668,-0.031711,0.441924,-0.202132,
-0.590240,0.172618,-0.235856,0.216741,0.141328,-0.074812,-0.925411,1.249033,-0.643063,-0.050267,0.487222,-0.219550,
-0.624590,0.203408,-0.237001,0.054696,-0.949023,2.967929,-0.772488,0.151134,2.339638,-0.070678,0.532859,-0.236910,
-0.655648,0.235402,-0.233208,-0.094404,-1.889989,5.408735,-0.580871,-0.891746,4.741460,-0.092430,0.579666,-0.254681,
-0.683747,0.268558,-0.224282,-0.213082,-2.689790,7.266152,-0.404592,-1.830876,6.554722,-0.115070,0.628555,-0.273393,
-0.709161,0.302896,-0.209857,-0.301570,-3.302143,8.535044,-0.270841,-2.572051,7.756330,-0.138201,0.680583,-0.293678,
-0.732076,0.338511,-0.189379,-0.369277,-3.662926,9.186756,-0.184514,-3.026589,8.310826,-0.161443,0.737000,-0.316292,
-0.752559,0.375588,-0.162089,-0.427891,-3.705887,9.165738,-0.140025,-3.124602,8.165751,-0.184392,0.799309,-0.342148,
-0.770267,0.414457,-0.127068,-0.488346,-3.364931,8.389714,-0.129691,-2.810054,7.250800,-0.206329,0.869288,-0.372259,
-0.782158,0.455964,-0.084002,-0.558680,-2.577052,6.762580,-0.145749,-2.037612,5.489040,-0.223883,0.948649,-0.407029,
-0.763863,0.504489,-0.039820,-0.626827,-1.298791,4.214140,-0.163752,-0.778884,2.821461,-0.212022,1.035478,-0.440031,
-0.517545,0.592745,-0.063645,-0.507797,0.440741,0.802842,0.007916,0.978437,-0.792195,0.031303,1.093986,-0.406759,
-0.775196,2.044765,-3.612543,-0.727082,0.495306,0.602683,-0.228847,0.849437,-0.594503,-0.343888,2.350388,-3.775420,
-0.808637,3.106468,-6.305381,-0.703002,0.517532,0.505604,-0.222863,0.790333,-0.496293,-0.482920,3.184416,-6.201636,
-0.817664,3.709397,-8.063363,-0.653219,0.539573,0.432408,-0.188872,0.753040,-0.420312,-0.608076,3.582057,-7.737107,
-0.811026,3.871909,-8.945626,-0.603691,0.564301,0.371382,-0.152976,0.728669,-0.354862,-0.746309,3.556381,-8.447593,
-0.767778,3.641600,-9.041440,-0.557078,0.591218,0.319383,-0.118279,0.713640,-0.296618,-0.894917,3.145221,-8.414556,
