dt
0.010
body_state 
 0.000  0.000  0.000  0.000  0.000  0.250  0.000  0.000  0.000  0.000  0.000  0.000 
jnt_angle
-0.044 -0.742  1.813  0.044 -0.742  1.813 -0.044 -0.826  1.823  0.044 -0.826  1.823 
jnt_vel
 0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 
foot_placements
 0.220  0.100  0.000  0.220 -0.100  0.000 -0.180  0.100  0.000 -0.180 -0.100  0.000 
foot_velocities
 0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 
grf
 0.000  0.000 22.500  0.000  0.000 22.500  0.000  0.000 22.500  0.000  0.000 22.500 
torque
 0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 
contact
1 1 1 1 
status_dur
 0.060  0.310  0.060  0.310 
body_state 
 0.000  0.000  0.000  0.000  0.000  0.250  0.000  0.000  0.000  0.002  0.000  0.000 
jnt_angle
-0.044 -0.742  1.813  0.044 -0.742  1.813 -0.044 -0.827  1.823  0.044 -0.827  1.823 
jnt_vel
 0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 
foot_placements
 0.220  0.100  0.000  0.220 -0.100  0.000 -0.180  0.100  0.000 -0.180 -0.100  0.000 
foot_velocities
 0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 
grf
 0.000  0.000 22.500  0.000  0.000 22.500  0.000  0.000 22.500  0.000  0.000 22.500 
torque
 0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 
contact
1 1 1 1 
status_dur
 0.060  0.310  0.060  0.310 
body_state 
 0.000  0.000  0.000  0.000  0.000  0.250  0.000  0.000  0.000  0.004  0.000  0.000 
jnt_angle
-0.044 -0.742  1.813  0.044 -0.742  1.813 -0.044 -0.827  1.823  0.044 -0.827  1.823 
jnt_vel
 0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 
foot_placements
 0.220  0.100  0.000  0.220 -0.100  0.000 -0.180  0.100  0.000 -0.180 -0.100  0.000 
foot_velocities
 0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 
grf
 0.000  0.000 22.500  0.000  0.000 22.500  0.000  0.000 22.500  0.000  0.000 22.500 
torque
 0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 
contact
1 1 1 1 
status_dur
 0.060  0.310  0.060  0.310 
body_state 
 0.000  0.000  0.000  0.000  0.000  0.250  0.000  0.000  0.000  0.006  0.000  0.000 
jnt_angle
-0.044 -0.743  1.813  0.044 -0.743  1.813 -0.044 -0.828  1.823  0.044 -0.828  1.823 
jnt_vel
 0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 
foot_placements
 0.220  0.100  0.000  0.220 -0.100  0.000 -0.180  0.100  0.000 -0.180 -0.100  0.000 
foot_velocities
 0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 
grf
 0.000  0.000 22.500  0.000  0.000 22.500  0.000  0.000 22.500  0.000  0.000 22.500 
torque
 0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 
contact
1 1 1 1 
status_dur
 0.060  0.310  0.060  0.310 
body_state 
 0.000  0.000  0.000  0.001  0.000  0.250  0.000  0.000  0.000  0.008  0.000  0.000 
jnt_angle
-0.044 -0.744  1.813  0.044 -0.744  1.813 -0.044 -0.828  1.823  0.044 -0.828  1.823 
jnt_vel
 0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 
foot_placements
 0.220  0.100  0.000  0.220 -0.100  0.000 -0.180  0.100  0.000 -0.180 -0.100  0.000 
foot_velocities
 0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 
grf
 0.000  0.000 22.500  0.000  0.000 22.500  0.000  0.000 22.500  0.000  0.000 22.500 
torque
 0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 
contact
