   0,   0,0.22,   0,   0,   0,   0,   1,-2.2,   0,   1,-2.2,   0,   1,-2.2,   0,   1,-2.2,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
         0,         0,      0.22,         0,         0,         0,         0,         1,      -2.2,         0,         1,      -2.2,         0,         1,      -2.2,         0,         1,      -2.2, -0.004781, 0.0043073,  0.087019,  0.025847,-0.0074801,   0.15429,  -0.38465,   -0.9066,    3.4059,  -0.20534,  -0.18329,    0.4686,  -0.15183,  -0.23482,   0.52125,   0.43666,  -0.53314,      3.44
 -4.781e-05, 4.3073e-05,    0.22087, 0.00025847,-7.4801e-05,  0.0015429, -0.0038465,    0.99093,    -2.1659, -0.0020534,    0.99817,    -2.1953, -0.0015183,    0.99765,    -2.1948,  0.0043666,    0.99467,    -2.1656, -0.0071524,  0.0045944,    0.14882,   0.035773,  -0.051899,     0.1863,   -0.42877,   -0.97058,      3.225,   -0.24911,   -0.29531,    0.85605,   -0.17543,   -0.32893,    0.83148,    0.55181,   -0.58568,     3.2918
-0.00011933, 8.9016e-05,    0.22236, 0.00061619,-0.00059379,   0.003406, -0.0081342,    0.98123,    -2.1337, -0.0045445,    0.99521,    -2.1868, -0.0032727,    0.99436,    -2.1865,  0.0098847,    0.98881,    -2.1327, -0.0093579,  0.0027849,    0.19734,    0.03886,  -0.094163,    0.18847,   -0.38535,   -0.90459,     3.0679,   -0.24368,   -0.38584,     1.1705,   -0.16484,   -0.39104,     1.0646,     0.5162,   -0.54938,     3.1347
-0.00021291, 0.00011687,    0.22433,  0.0010048, -0.0015354,  0.0052907,  -0.011988,    0.97218,     -2.103, -0.0069812,    0.99136,     -2.175, -0.0049211,    0.99045,    -2.1758,   0.015047,    0.98332,    -2.1013,  -0.012069,-0.00037099,    0.23621,     0.0386,   -0.12654,     0.1779,   -0.34312,   -0.82437,     2.9313,   -0.21447,   -0.46842,     1.4226,   -0.13804,   -0.44735,     1.2536,    0.43121,   -0.49127,     2.9965
-0.00033361, 0.00011316,    0.22669,  0.0013908, -0.0028008,  0.0070697,  -0.015419,    0.96394,    -2.0737, -0.0091259,    0.98667,    -2.1608, -0.0063014,    0.98598,    -2.1633,   0.019359,    0.97841,    -2.0714,  -0.015415, -0.0044118,    0.26711,   0.036547,   -0.14809,    0.15944,   -0.31802,   -0.74909,     2.8155,   -0.17118,   -0.54666,      1.621,   -0.10109,   -0.50454,     1.4099,    0.33173,   -0.42942,     2.8783
-0.00048776, 6.9038e-05,    0.22937,  0.0017563, -0.0042817,  0.0086641,  -0.018599,    0.95645,    -2.0455,  -0.010838,     0.9812,    -2.1446, -0.0073124,    0.98093,    -2.1492,   0.022676,    0.97411,    -2.0426,  -0.019375, -0.0090109,    0.29108,   0.033626,   -0.15991,    0.13589,   -0.31068,   -0.68098,     2.7196,   -0.11995,   -0.62086,      1.773,  -0.057866,   -0.56359,     1.5384,    0.22964,   -0.36916,     2.7795
-0.00068151,-2.1071e-05,    0.23228,  0.0020925, -0.0058808,   0.010023,  -0.021706,    0.94964,    -2.0183,  -0.012037,      0.975,    -2.1269,  -0.007891,     0.9753,    -2.1338,   0.024972,    0.97042,    -2.0148,  -0.023883,  -0.013932,    0.30894,   0.030487,   -0.16361,    0.10919,   -0.31862,   -0.62008,      2.643,  -0.065016,   -0.69028,     1.8847,  -0.011037,   -0.62373,     1.6422,    0.12981,    -0.3123,        2.7
-0.00092034,-0.00016039,    0.23537,  0.0023974, -0.0075169,   0.011115,  -0.024892,    0.94344,    -1.9919,  -0.012687,    0.96809,     -2.108, -0.0080014,    0.96906,    -2.1174,   0.026271,     0.9673,    -1.9878,  -0.028866,  -0.019006,    0.32136,   0.027608,   -0.16081,   0.080699,   -0.33882,   -0.56563,     2.5852, -0.0092819,   -0.75396,     1.9612,   0.037543,   -0.68362,     1.7232,   0.034311,   -0.25962,     2.6394
  -0.001209,-0.00035046,    0.23858,  0.0026735,  -0.009125,   0.011922,   -0.02828,    0.93778,    -1.9661,   -0.01278,    0.96055,    -2.0884,  -0.007626,    0.96222,    -2.1002,   0.026614,     0.9647,    -1.9614,  -0.034247,  -0.024113,    0.32891,   0.025352,   -0.15303,   0.051445,   -0.36882,   -0.51709,     2.5457,   0.045243,   -0.81101,     2.0069,   0.086569,   -0.74188,      1.783,   -0.05561,   -0.21126,     2.5975
